sábado,Inicio,Entrega,s-b,s-r,"R$ 30-34","44-55 min"
sábado,Pico,Entrega,c-b,s-r,"R$ 34-38","44-55 min"
sábado,Pico,Entrega,s-b,s-r,"R$ 30-34","44-55 min"
sábado,Pico,Entrega,s-b,s-r,"R$ 22-26","44-55 min"
sábado,Pico,Entrega,s-b,s-r,"R$ 22-26","33-44 min"
sábado,Pico,Buscar,c-b,s-r,"R$ 30-34","33-44 min"
sábado,Pico,Entrega,s-b,s-r,"R$ 22-26","33-44 min"
sábado,Pico,Entrega,s-b,s-r,"R$ 22-26","33-44 min"
sábado,Pico,Entrega,s-b,s-r,"R$ 34-38","33-44 min"
sábado,Pico,Buscar,s-b,c-r,"R$ 34-38","33-44 min"
sábado,Final,Entrega,s-b,s-r,"R$ 22-26","22-33 min"
sábado,Final,Buscar,s-b,s-r,"R$ 30-34","22-33 min"
sábado,Final,Buscar,s-b,s-r,"R$ 30-34","33-44 min"
domingo,Final,Entrega,s-b,s-r,"R$ 18-22","22-33 min"
domingo,Pico,Entrega,s-b,s-r,"R$ 22-26","22-33 min"
domingo,Pico,Entrega,s-b,s-r,"R$ 18-22","33-44 min"
domingo,Pico,Buscar,s-b,s-r,"R$ 22-26","22-33 min"
terça,Inicio,Entrega,s-b,s-r,"R$ 30-34","33-44 min"
terça,Inicio,Entrega,s-b,s-r,"R$ 30-34","33-44 min"
terça,Pico,Buscar,s-b,s-r,"R$ 30-34","33-44 min"
terça,Pico,Entrega,s-b,c-r,"R$ 26-30","22-33 min"
terça,Final,Buscar,s-b,s-r,"R$ 26-30","22-33 min"
quarta,Inicio,Buscar,s-b,s-r,"R$ 18-22","33-44 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 26-30","33-44 min"
quarta,Inicio,Entrega,s-b,s-r,"R$ 34-38","33-44 min"
quarta,Pico,Entrega,s-b,s-r,"R$ 30-34","33-44 min"
quarta,Pico,Entrega,c-b,s-r,"R$ 34-38","33-44 min"
quarta,Final,Buscar,s-b,s-r,"R$ 18-22","44-55 min"
quarta,Final,Buscar,s-b,s-r,"R$ 14-18","22-33 min"
quarta,Final,Buscar,s-b,c-r,"R$ 30-34","33-44 min"
quinta,Inicio,Buscar,s-b,s-r,"R$ 26-30","10-22 min"
quinta,Pico,Buscar,s-b,s-r,"R$ 22-26","22-33 min"
